click,impression,url_hash,ad_id,advertiser_id,depth,position,query_id,keyword_id,title_id,description_id,user_id
b'0',1.0,1.0710025208886284e+19,8343295.0,11700.0,3.0,3.0,7702266.0,21264.0,27892.0,1559.0,0.0
b'1',1.0,1.7363854844105064e+19,20017077.0,23798.0,1.0,1.0,93079.0,35498.0,4.0,36476.0,562934.0
b'0',1.0,8.91547335425734e+18,21348354.0,36654.0,1.0,1.0,10981.0,19975.0,36105.0,33292.0,11621116.0
b'0',1.0,4.4266930771924316e+18,20366086.0,33280.0,3.0,3.0,0.0,5942.0,4057.0,4390.0,8778348.0
b'0',1.0,1.157259655396508e+19,6803526.0,10790.0,2.0,1.0,9881978.0,60593.0,25242.0,1679.0,12118311.0
b'1',1.0,2.8275773662324854e+17,21186478.0,35793.0,2.0,1.0,163315.0,4871.0,3257.0,1153.0,2886008.0
b'0',1.0,8.813902859733762e+18,20886690.0,34840.0,2.0,2.0,316.0,543.0,2206.0,2888.0,7589739.0
b'0',1.0,3.8110346841213204e+18,21367376.0,20667.0,3.0,2.0,2601439.0,118.0,9594.0,9705.0,579253.0
b'0',1.0,9.806838428950888e+18,21811752.0,37737.0,3.0,2.0,1631.0,333.0,841.0,2175.0,5277279.0
b'1',1.0,1.4340390157469403e+19,9027213.0,23808.0,2.0,1.0,5.0,1.0,0.0,0.0,11808635.0
b'0',1.0,1.154854293114536e+19,21188630.0,17432.0,3.0,3.0,54485.0,20526.0,680977.0,621442.0,329865.0
b'1',3.0,1.205787899908646e+19,20170434.0,27961.0,1.0,1.0,16554377.0,63355.0,106189.0,100521.0,1378623.0
b'0',1.0,2.352816826109845e+18,10362063.0,28873.0,2.0,1.0,3203.0,38.0,1150.0,1129.0,5864198.0
b'0',1.0,5.120683440510468e+18,8676724.0,1268.0,1.0,1.0,1330.0,40.0,45.0,13.0,16760230.0
b'0',1.0,5.589649412465737e+18,20950936.0,35067.0,1.0,1.0,637.0,9563.0,8908.0,42.0,19015059.0
b'0',2.0,1.205787899908646e+19,20163224.0,27961.0,1.0,1.0,24027.0,1003.0,3718.0,4300.0,5359727.0
b'0',1.0,1.7299638493773875e+18,20882079.0,23637.0,2.0,2.0,1.0,659.0,890.0,227.0,2676619.0
b'0',1.0,1.4935292746090631e+19,21967731.0,37465.0,3.0,3.0,743855.0,64605.0,774277.0,125.0,0.0
b'0',1.0,1.432575689518243e+19,5937082.0,24161.0,2.0,1.0,8789369.0,3660.0,230.0,350.0,0.0
b'0',2.0,6.715049002232656e+18,3065545.0,23783.0,1.0,1.0,1060.0,60.0,54.0,78.0,22485516.0
b'1',1.0,5.851252814446936e+18,21477611.0,28698.0,1.0,1.0,13619350.0,1372.0,5269.0,5590.0,12474904.0
b'0',1.0,1.7916193598630554e+19,21720811.0,36961.0,2.0,1.0,1644095.0,6655.0,257582.0,214940.0,0.0
b'0',1.0,1.1547636679726547e+19,21229143.0,36219.0,2.0,2.0,118476.0,18740.0,184256.0,1155.0,1363665.0
b'0',1.0,1.205787899908646e+19,20147104.0,27961.0,2.0,1.0,21877.0,10134.0,12022.0,13371.0,2914614.0
b'0',1.0,3.163997420314436e+18,21445735.0,26288.0,3.0,3.0,592.0,43.0,389.0,150.0,1049825.0
b'0',1.0,9.75107224858461e+18,10850160.0,29713.0,2.0,2.0,274203.0,52559.0,299304.0,280190.0,163100.0
b'0',1.0,1.5831974502480285e+17,4383725.0,10632.0,2.0,1.0,4146195.0,99.0,3925.0,11188.0,108607.0
b'1',1.0,1.6564593429321016e+18,4292714.0,24638.0,2.0,2.0,11818280.0,378070.0,829668.0,700216.0,1121673.0
b'0',1.0,2.670952723278905e+18,20172890.0,23805.0,1.0,1.0,322.0,73.0,304.0,16.0,11698817.0
b'0',1.0,1.4340390157469403e+19,10399705.0,23808.0,2.0,2.0,11943445.0,53500.0,12335.0,12184.0,421777.0
b'0',1.0,1.0974309841212465e+19,21326131.0,36538.0,3.0,3.0,2.0,142.0,9282.0,8539.0,5730123.0
b'0',1.0,6.228784066129291e+18,3923541.0,1998.0,1.0,1.0,335.0,1073.0,1014.0,1575.0,18200639.0
b'0',1.0,1.6604442479597177e+19,8390773.0,11706.0,2.0,1.0,11163021.0,8919.0,40317.0,42074.0,856462.0
b'0',1.0,1.205787899908646e+19,20163203.0,27961.0,1.0,1.0,3131615.0,4662.0,74972.0,72624.0,0.0
b'1',1.0,1.4202400320781967e+19,21015281.0,27503.0,2.0,2.0,304115.0,34602.0,1026544.0,832988.0,0.0
b'0',1.0,1.4235650652681212e+19,5070465.0,19742.0,3.0,1.0,514961.0,80956.0,497913.0,423962.0,0.0
b'0',1.0,7.55337964779071e+18,4391771.0,26238.0,2.0,1.0,840320.0,99.0,2739.0,5798.0,466190.0
b'1',1.0,1.5339639395262884e+19,21345704.0,2218.0,2.0,1.0,1068842.0,41.0,2360.0,2572.0,0.0
b'0',1.0,1.3747702810738233e+19,21416405.0,36970.0,2.0,2.0,3113931.0,405.0,10206.0,2366.0,7226282.0
b'0',1.0,1.1933833756018751e+19,4326388.0,14181.0,3.0,2.0,2225104.0,7443.0,18362.0,1128.0,164989.0
b'0',1.0,1.0058505550491195e+19,20711217.0,34402.0,3.0,3.0,1215217.0,45836.0,136972.0,130558.0,2374044.0
b'0',1.0,9.177217211763354e+18,4428126.0,28708.0,1.0,1.0,23775574.0,590.0,451.0,665.0,0.0
b'0',1.0,1.205787899908646e+19,20163579.0,27961.0,1.0,1.0,792.0,1781.0,4341.0,5053.0,13912645.0
